subject,sex,experiment,condition,testorder,day,trial,elongation
d1,Female,stroking,Asynchronous,AB,3,1,66.8465
d1,Female,stroking,Asynchronous,AB,3,2,75.4304
d1,Female,stroking,Asynchronous,AB,3,3,76.1074
d1,Female,stroking,Asynchronous,AB,3,4,73.1601
d1,Female,stroking,Asynchronous,AB,3,5,72.2237
e2,Female,stroking,Asynchronous,AB,3,1,69.8626
e2,Female,stroking,Asynchronous,AB,3,2,68.1727
e2,Female,stroking,Asynchronous,AB,3,3,72.9184
e2,Female,stroking,Asynchronous,AB,3,4,74.2487
e2,Female,stroking,Asynchronous,AB,3,5,68.6749
h1,Male,stroking,Asynchronous,AB,3,1,72.0091
h1,Male,stroking,Asynchronous,AB,3,2,71.012
h1,Male,stroking,Asynchronous,AB,3,3,72.9508
h1,Male,stroking,Asynchronous,AB,3,4,76.8135
h1,Male,stroking,Asynchronous,AB,3,5,71.3879
d1,Female,stroking,Asynchronous,AB,4,1,75.061
d1,Female,stroking,Asynchronous,AB,4,2,71.2668
d1,Female,stroking,Asynchronous,AB,4,3,72.2435
d1,Female,stroking,Asynchronous,AB,4,4,71.1025
d1,Female,stroking,Asynchronous,AB,4,5,74.3348
e2,Female,stroking,Asynchronous,AB,4,1,78.7162
e2,Female,stroking,Asynchronous,AB,4,2,77.6193
e2,Female,stroking,Asynchronous,AB,4,3,78.2526
e2,Female,stroking,Asynchronous,AB,4,4,78.6077
e2,Female,stroking,Asynchronous,AB,4,5,78.1059
g1,Male,stroking,Asynchronous,AB,4,1,69.6575
g1,Male,stroking,Asynchronous,AB,4,2,70.354
g1,Male,stroking,Asynchronous,AB,4,3,69.2267
h1,Male,stroking,Asynchronous,AB,4,1,66.75
h1,Male,stroking,Asynchronous,AB,4,2,67.3137
h1,Male,stroking,Asynchronous,AB,4,3,68.2954
h1,Male,stroking,Asynchronous,AB,4,4,67.2835
h1,Male,stroking,Asynchronous,AB,4,5,68.1911
d1,Female,stroking,Asynchronous,AB,5,1,76.3677
d1,Female,stroking,Asynchronous,AB,5,2,76.1167
d1,Female,stroking,Asynchronous,AB,5,3,76.7847
d1,Female,stroking,Asynchronous,AB,5,4,76.1661
d1,Female,stroking,Asynchronous,AB,5,5,75.8161
e2,Female,stroking,Asynchronous,AB,5,1,78.462
e2,Female,stroking,Asynchronous,AB,5,2,74.7916
e2,Female,stroking,Asynchronous,AB,5,3,77.4197
e2,Female,stroking,Asynchronous,AB,5,4,75.9824
e2,Female,stroking,Asynchronous,AB,5,5,76.8127
h1,Male,stroking,Asynchronous,AB,5,1,68.7725
h1,Male,stroking,Asynchronous,AB,5,2,75.4297
h1,Male,stroking,Asynchronous,AB,5,3,71.0183
h1,Male,stroking,Asynchronous,AB,5,4,76.1595
h1,Male,stroking,Asynchronous,AB,5,5,76.7367
d1,Female,stroking,Asynchronous,AB,6,1,73.5603
d1,Female,stroking,Asynchronous,AB,6,2,74.0134
d1,Female,stroking,Asynchronous,AB,6,3,74.0602
d1,Female,stroking,Asynchronous,AB,6,4,74.0528
d1,Female,stroking,Asynchronous,AB,6,5,73.4059
e2,Female,stroking,Asynchronous,AB,6,1,76.3217
e2,Female,stroking,Asynchronous,AB,6,2,77.0633
e2,Female,stroking,Asynchronous,AB,6,3,72.4652
e2,Female,stroking,Asynchronous,AB,6,4,75.5467
e2,Female,stroking,Asynchronous,AB,6,5,74.7395
h1,Male,stroking,Asynchronous,AB,6,1,66.4934
h1,Male,stroking,Asynchronous,AB,6,2,66.0443
h1,Male,stroking,Asynchronous,AB,6,3,69.756
h1,Male,stroking,Asynchronous,AB,6,4,63.8436
h1,Male,stroking,Asynchronous,AB,6,5,66.1714
a2,Female,stroking,Asynchronous,BA,3,1,73.6122
a2,Female,stroking,Asynchronous,BA,3,2,73.6914
a2,Female,stroking,Asynchronous,BA,3,3,72.893
a2,Female,stroking,Asynchronous,BA,3,4,73.0312
a2,Female,stroking,Asynchronous,BA,3,5,74.6659
c2,Female,stroking,Asynchronous,BA,3,1,75.794
c2,Female,stroking,Asynchronous,BA,3,2,76.5851
c2,Female,stroking,Asynchronous,BA,3,3,76.9554
c2,Female,stroking,Asynchronous,BA,3,4,77.0386
c2,Female,stroking,Asynchronous,BA,3,5,75.9284
f1,Female,stroking,Asynchronous,BA,3,1,72.0182
f1,Female,stroking,Asynchronous,BA,3,2,74.0111
f1,Female,stroking,Asynchronous,BA,3,3,74.2659
f1,Female,stroking,Asynchronous,BA,3,4,75.349
f1,Female,stroking,Asynchronous,BA,3,5,68.2933
g2,Male,stroking,Asynchronous,BA,3,1,77.8673
k1,Male,stroking,Asynchronous,BA,3,1,80.0634
k1,Male,stroking,Asynchronous,BA,3,2,79.2733
k1,Male,stroking,Asynchronous,BA,3,3,81.2803
k1,Male,stroking,Asynchronous,BA,3,4,78.0656
k1,Male,stroking,Asynchronous,BA,3,5,77.6778
a2,Female,stroking,Asynchronous,BA,4,1,77.1992
a2,Female,stroking,Asynchronous,BA,4,2,76.5988
a2,Female,stroking,Asynchronous,BA,4,3,76.3326
a2,Female,stroking,Asynchronous,BA,4,4,76.5067
a2,Female,stroking,Asynchronous,BA,4,5,76.1336
c2,Female,stroking,Asynchronous,BA,4,1,75.3935
c2,Female,stroking,Asynchronous,BA,4,2,75.8269
c2,Female,stroking,Asynchronous,BA,4,3,75.895
c2,Female,stroking,Asynchronous,BA,4,4,75.627
c2,Female,stroking,Asynchronous,BA,4,5,74.4688
f1,Female,stroking,Asynchronous,BA,4,1,66.964
f1,Female,stroking,Asynchronous,BA,4,2,70.2632
f1,Female,stroking,Asynchronous,BA,4,3,67.787
g2,Male,stroking,Asynchronous,BA,4,1,78.6949
k1,Male,stroking,Asynchronous,BA,4,1,76.1981
k1,Male,stroking,Asynchronous,BA,4,2,76.1973
k1,Male,stroking,Asynchronous,BA,4,3,76.8041
k1,Male,stroking,Asynchronous,BA,4,4,75.9814
k1,Male,stroking,Asynchronous,BA,4,5,78.9306
a2,Female,stroking,Asynchronous,BA,5,1,77.0272
a2,Female,stroking,Asynchronous,BA,5,2,76.9089
a2,Female,stroking,Asynchronous,BA,5,3,78.4865
a2,Female,stroking,Asynchronous,BA,5,4,77.3437
a2,Female,stroking,Asynchronous,BA,5,5,77.0395
c2,Female,stroking,Asynchronous,BA,5,1,73.8725
c2,Female,stroking,Asynchronous,BA,5,2,76.0512
c2,Female,stroking,Asynchronous,BA,5,3,73.4929
c2,Female,stroking,Asynchronous,BA,5,4,76.5246
c2,Female,stroking,Asynchronous,BA,5,5,74.902
f1,Female,stroking,Asynchronous,BA,5,1,71.5928
f1,Female,stroking,Asynchronous,BA,5,2,72.937
f1,Female,stroking,Asynchronous,BA,5,3,69.7927
f1,Female,stroking,Asynchronous,BA,5,4,72.2228
f1,Female,stroking,Asynchronous,BA,5,5,69.6255
g2,Male,stroking,Asynchronous,BA,5,1,78.0371
g2,Male,stroking,Asynchronous,BA,5,2,75.02
k1,Male,stroking,Asynchronous,BA,5,1,78.0818
k1,Male,stroking,Asynchronous,BA,5,2,78.2514
k1,Male,stroking,Asynchronous,BA,5,3,73.2677
k1,Male,stroking,Asynchronous,BA,5,4,72.2681
k1,Male,stroking,Asynchronous,BA,5,5,75.0862
a2,Female,stroking,Asynchronous,BA,6,1,76.1075
a2,Female,stroking,Asynchronous,BA,6,2,75.3122
a2,Female,stroking,Asynchronous,BA,6,3,75.6183
a2,Female,stroking,Asynchronous,BA,6,4,75.9967
a2,Female,stroking,Asynchronous,BA,6,5,74.8744
c2,Female,stroking,Asynchronous,BA,6,1,76.507
c2,Female,stroking,Asynchronous,BA,6,2,75.0528
c2,Female,stroking,Asynchronous,BA,6,3,74.249
c2,Female,stroking,Asynchronous,BA,6,4,73.8463
c2,Female,stroking,Asynchronous,BA,6,5,73.695
f1,Female,stroking,Asynchronous,BA,6,1,71.6939
f1,Female,stroking,Asynchronous,BA,6,2,71.7159
f1,Female,stroking,Asynchronous,BA,6,3,72.0893
f1,Female,stroking,Asynchronous,BA,6,4,71.1688
f1,Female,stroking,Asynchronous,BA,6,5,69.2542
g2,Male,stroking,Asynchronous,BA,6,1,78.1379
g2,Male,stroking,Asynchronous,BA,6,2,76.7267
k1,Male,stroking,Asynchronous,BA,6,1,76.2756
k1,Male,stroking,Asynchronous,BA,6,2,77.1386
k1,Male,stroking,Asynchronous,BA,6,3,74.5391
k1,Male,stroking,Asynchronous,BA,6,4,76.1556
k1,Male,stroking,Asynchronous,BA,6,5,73.5572
a1,Female,stroking,Synchronous,AB,3,1,78.2017
a1,Female,stroking,Synchronous,AB,3,2,77.099
a1,Female,stroking,Synchronous,AB,3,3,78.0316
a1,Female,stroking,Synchronous,AB,3,4,77.734
a1,Female,stroking,Synchronous,AB,3,5,77.5721
b2,Female,stroking,Synchronous,AB,3,1,74.4246
b2,Female,stroking,Synchronous,AB,3,2,77.8471
b2,Female,stroking,Synchronous,AB,3,3,77.2164
b2,Female,stroking,Synchronous,AB,3,4,73.6037
b2,Female,stroking,Synchronous,AB,3,5,74.9388
f2,Female,stroking,Synchronous,AB,3,1,74.9913
f2,Female,stroking,Synchronous,AB,3,2,75.8009
f2,Female,stroking,Synchronous,AB,3,3,75.6345
f2,Female,stroking,Synchronous,AB,3,4,77.4216
f2,Female,stroking,Synchronous,AB,3,5,77.7073
h2,Male,stroking,Synchronous,AB,3,1,68.3963
h2,Male,stroking,Synchronous,AB,3,2,67.996
h2,Male,stroking,Synchronous,AB,3,3,69.3518
h2,Male,stroking,Synchronous,AB,3,4,68.4802
h2,Male,stroking,Synchronous,AB,3,5,67.3039
l1,Male,stroking,Synchronous,AB,3,1,75.4677
a1,Female,stroking,Synchronous,AB,4,1,78.462
a1,Female,stroking,Synchronous,AB,4,2,77.8769
a1,Female,stroking,Synchronous,AB,4,3,78.4612
a1,Female,stroking,Synchronous,AB,4,4,79.1463
a1,Female,stroking,Synchronous,AB,4,5,78.323
b2,Female,stroking,Synchronous,AB,4,1,79.2372
b2,Female,stroking,Synchronous,AB,4,2,74.9819
b2,Female,stroking,Synchronous,AB,4,3,75.8881
b2,Female,stroking,Synchronous,AB,4,4,78.0487
b2,Female,stroking,Synchronous,AB,4,5,76.1417
f2,Female,stroking,Synchronous,AB,4,1,77.2439
f2,Female,stroking,Synchronous,AB,4,2,77.2252
f2,Female,stroking,Synchronous,AB,4,3,77.2906
f2,Female,stroking,Synchronous,AB,4,4,78.5058
f2,Female,stroking,Synchronous,AB,4,5,77.7575
l1,Male,stroking,Synchronous,AB,4,1,70.6505
l1,Male,stroking,Synchronous,AB,4,2,66.8327
a1,Female,stroking,Synchronous,AB,5,1,75.3893
a1,Female,stroking,Synchronous,AB,5,2,74.2511
a1,Female,stroking,Synchronous,AB,5,3,74.9347
a1,Female,stroking,Synchronous,AB,5,4,73.7032
a1,Female,stroking,Synchronous,AB,5,5,74.6896
b2,Female,stroking,Synchronous,AB,5,1,73.0284
b2,Female,stroking,Synchronous,AB,5,2,72.7965
b2,Female,stroking,Synchronous,AB,5,3,77.3393
b2,Female,stroking,Synchronous,AB,5,4,76.851
b2,Female,stroking,Synchronous,AB,5,5,74.147
f2,Female,stroking,Synchronous,AB,5,1,74.0599
f2,Female,stroking,Synchronous,AB,5,2,72.6726
f2,Female,stroking,Synchronous,AB,5,3,74.0718
f2,Female,stroking,Synchronous,AB,5,4,73.9942
f2,Female,stroking,Synchronous,AB,5,5,74.5755
a1,Female,stroking,Synchronous,AB,6,1,70.5659
a1,Female,stroking,Synchronous,AB,6,2,70.9696
a1,Female,stroking,Synchronous,AB,6,3,71.0144
a1,Female,stroking,Synchronous,AB,6,4,73.0077
a1,Female,stroking,Synchronous,AB,6,5,72.2305
b2,Female,stroking,Synchronous,AB,6,1,70.4068
b2,Female,stroking,Synchronous,AB,6,2,70.2967
b2,Female,stroking,Synchronous,AB,6,3,67.597
b2,Female,stroking,Synchronous,AB,6,4,70.2829
